FID,GID,NOME,TTOMB,DESCRICAO,FONTE,ANO_REF,THE_GEOM
Bens Tombados.fid-2be50750_153af4824fe_1780,41,Casa Rachel de Queiroz,Municipal,"<br><strong>Endereço: </strong>Rua Antônio Ivo, nº 290<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.580883208609 -3.7587013475837)
Bens Tombados.fid-2be50750_153af4824fe_1781,42,Ideal Club,Municipal,"<br><strong>Endereço: </strong>Av. Monsenhor Tabosa, nº 1331<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.50611395011 -3.7239283541783)
Bens Tombados.fid-2be50750_153af4824fe_1782,43,Colégio Doroteias,Municipal,"<br><strong>Endereço: </strong>Avenida Visconde do Rio Branco, nº  2078<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.523880902625 -3.7392808865235)
Bens Tombados.fid-2be50750_153af4824fe_1783,44,Náutico Atlético Cearense,Municipal,"<br><strong>Endereço: </strong>Avenida Abolição, nº 2727<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.494355145789 -3.7266156020058)
Bens Tombados.fid-2be50750_153af4824fe_1784,45,IMPARH,Municipal,"<br><strong>Endereço: </strong>Rua João Pessoa, nº 5609<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.554962340689 -3.7609923768093)
Bens Tombados.fid-2be50750_153af4824fe_1785,46,Santa Casa de Misericórdia,Municipal,"<br><strong>Endereço: </strong>Rua Barão do Rio Branco, nº 20<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.527206841803 -3.7223652500745)
Bens Tombados.fid-2be50750_153af4824fe_1786,47,Pavimentação da Rua José Avelino,Municipal,<br><strong>Endereço: </strong>Rua José Avelino<br><br><strong>Proteção: </strong>Tombado,SECULTFOR,2016,POINT (-38.521938983298 -3.7222340990903)
Bens Tombados.fid-2be50750_153af4824fe_1787,48,Assembleia Provincial - Museu do Ceará,Federal,"<br><strong>Endereço: </strong>Rua São Paulo, 51, Centro<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.526511 -3.7264248)
Bens Tombados.fid-2be50750_153af4824fe_1788,49,Casa de José de Alencar - Centro de Turismo,Federal,"<br><strong>Endereço: </strong>Avenida Washington Soares, n° 6055, Edson Queiroz<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.478346491896 -3.8116500677818)
Bens Tombados.fid-2be50750_153af4824fe_1789,50,Igreja de São Pedro dos Pescadores,Municipal,"<br><strong>Endereço: </strong>Avenida Beira Mar, s/n<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.48032209 -3.722280071)
Bens Tombados.fid-2be50750_153af4824fe_178a,51,Casa do Português,Municipal,"<br><strong>Endereço: </strong>Avenida João Pessoa, 5094<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.55325646 -3.756131962)
Bens Tombados.fid-2be50750_153af4824fe_178b,52,Antiga Sede do Sport Club Maguary,Municipal,"<br><strong>Endereço: </strong>Rua Barão do Rio Branco, nº 2955<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.5340733 -3.744087865)
Bens Tombados.fid-2be50750_153af4824fe_178c,53,Farmácia Oswaldo Cruz,Municipal,"<br><strong>Endereço: </strong>Rua Major Facundo, nº 576<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.52810404 -3.727967252)
Bens Tombados.fid-2be50750_153af4824fe_178d,54,Escola de Música Luís Assunção,Municipal,"<br><strong>Endereço: </strong>Rua Sólon Pinheiro, nº 60<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.5265497 -3.730986377)
Bens Tombados.fid-2be50750_153af4824fe_178e,55,Colégio Marista Cearense,Municipal,"<br><strong>Endereço: </strong>Avenida Duque de Caxias, nº 101<br><br><strong>Proteção: </strong>Tombado",SECULTFOR,2016,POINT (-38.52544195 -3.733761928)
Bens Tombados.fid-2be50750_153af4824fe_178f,56,Bar Avião,Municipal,"<br><strong>Endereço: </strong>Rua 15 de novembro, nº 09<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.55972192 -3.767450584)
Bens Tombados.fid-2be50750_153af4824fe_1790,57,Lord Hotel,Municipal,"<br><strong>Endereço: </strong>Rua Liberato Barroso,  nº 555<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.53341884 -3.72687255)
Bens Tombados.fid-2be50750_153af4824fe_1791,58,Casa da câmara da Villa de Arronches,Municipal,"<br><strong>Endereço: </strong>Avenida Carlos Amora, s/n<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.56411001 -3.77450558)
