FID,GID,NOME,TZEDUS,DESCRICAO,THE_GEOM,FONTE,ANO_REF
Zedus.fid-2be50750_153af4824fe_2a61,208,ZONAS ESPECIAIS DE DINAMIZACAO URBANISTICA E SOCIOECONOMICA,ZEDUS - Zonas Especiais de Dinamização Urbanística e Socioeconômica,<br><strong>Área(m²): </strong>69324.943539588712<br><br><strong>Perímetro(m): </strong>1503.1817459078825,"POLYGON ((-38.528701264548054 -3.720848678616945, -38.52836157278478 -3.7203924387363965, -38.52259753640929 -3.720947711267577, -38.522718760829214 -3.721192508920441, -38.52316291335776 -3.72125380000601, -38.52384530941106 -3.722421143845089, -38.52428570930847 -3.7221953905421317, -38.524645714293506 -3.7220664471720046, -38.52558055556767 -3.721834604285624, -38.528701264548054 -3.720848678616945))",SEUMA,2015
Zedus.fid-2be50750_153af4824fe_2a62,243,ZONAS ESPECIAIS DE DINAMIZACAO URBANISTICA E SOCIOECONOMICA,ZEDUS - Zonas Especiais de Dinamização Urbanística e Socioeconômica,<br><strong>Área(m²): </strong>1927961.8241243791<br><br><strong>Perímetro(m): </strong>6871.8139544811138,"POLYGON ((-38.535312641709616 -3.730050164120484, -38.535034187943424 -3.7291731001939215, -38.53289654832614 -3.7219605426081297, -38.531370084384776 -3.722497823393129, -38.52966685918455 -3.723087363853001, -38.52899351605953 -3.720762517472601, -38.528701264548054 -3.720848678616945, -38.52558055556767 -3.721834604285624, -38.524645714293506 -3.7220664471720046, -38.52428570930847 -3.7221953905421317, -38.52384530941106 -3.722421143845089, -38.52316291335776 -3.72125380000601, -38.522718760829214 -3.721192508920441, -38.51461955848457 -3.7201241725414964, -38.51464464375703 -3.7210392051594225, -38.51485424023327 -3.7226906413857894, -38.51491515529933 -3.7232623448045152, -38.51493849324186 -3.7234813772648447, -38.51497896143091 -3.7238611812950944, -38.517987759642715 -3.723655412661181, -38.51957529392979 -3.7235549742301726, -38.519729497519094 -3.724118515474454, -38.51989030948779 -3.7245300126386884, -38.52295422911804 -3.7340133841436165, -38.524620992530764 -3.7334823225834484, -38.52704679891229 -3.732703621493224, -38.529943121129186 -3.731774392316515, -38.530501676376375 -3.7315950343280724, -38.535312641709616 -3.730050164120484))",SEUMA,2015
Zedus.fid-2be50750_153af4824fe_2a63,339,ZONAS ESPECIAIS DE DINAMIZACAO URBANISTICA E SOCIOECONOMICA,ZEDUS - Zonas Especiais de Dinamização Urbanística e Socioeconômica,<br><strong>Área(m²): </strong>828319.46837638319<br><br><strong>Perímetro(m): </strong>5738.5533465863582,"POLYGON ((-38.56555081431375 -3.7164251101086, -38.56724879298824 -3.7157741611046875, -38.570177296343665 -3.7147164655065765, -38.5755305712062 -3.7129600813158223, -38.58169981449363 -3.710641912902118, -38.58282817250555 -3.709555417660673, -38.582162935677246 -3.7087326948866743, -38.58393112018236 -3.7076381726683016, -38.58609034333363 -3.7063770836366703, -38.58525197187032 -3.7049899488004567, -38.58319024698039 -3.706098266397802, -38.57979428851898 -3.707923787603112, -38.577962351688946 -3.7086323993721058, -38.577021334809025 -3.7089476326101787, -38.5762559675964 -3.7091998123868684, -38.573445438501444 -3.7101454999731938, -38.571839422240195 -3.7106750648297298, -38.56965726564937 -3.7114174756602023, -38.5655771761048 -3.712827521211877, -38.56449484637936 -3.713241969072265, -38.56540654570222 -3.715987614629062, -38.56555081431375 -3.7164251101086))",SEUMA,2015
